,load_h6,load_h12,load_h24,load_sum6,load_sum12,load_sum24,solar_h6,solar_h12,solar_h24,solar_sum6,solar_sum12,solar_sum24,price_h6,price_h12,price_h24,temperature_h6,temperature_h12,temperature_h24,humidity_h6,humidity_h12,humidity_h24,diffuse_h6,diffuse_h12,diffuse_h24,direct_h6,direct_h12,direct_h24
0,2.2757938,2.2757926,2.2757936,13.654771,27.309538,54.61907,-6.0880693e-06,-7.454531e-06,-6.4081296e-06,-2.9267481e-05,-6.325928e-05,-0.00012886514,0.2199939,0.21999255,0.21999359,19.999994,19.999992,19.999994,83.99999,83.99999,83.99999,-6.0880693e-06,-7.454531e-06,-6.4081296e-06,-6.0880693e-06,-7.454531e-06,-6.4081296e-06
1,1.4635051,1.6962025,1.4824989,8.525812,18.073765,37.2665,1.843275e-06,3.5918897e-06,4.5396037e-06,1.5749669e-05,3.6946058e-05,0.00010746787,0.22000185,0.22000359,0.22000454,20.181202,20.175123,20.118982,81.14911,81.965805,81.215775,1.843275e-06,3.5918897e-06,4.5396037e-06,1.843275e-06,3.5918897e-06,4.5396037e-06
2,1.185029,1.4312052,1.300489,7.1207967,15.138165,31.968367,1.8920822e-07,-4.5694875e-07,3.6572712e-07,1.365656e-06,5.487674e-07,1.9787374e-06,0.22,0.22,0.22,19.842875,19.873291,19.8536,79.371155,80.396286,79.90071,1.8920822e-07,-4.5694875e-07,3.6572712e-07,1.8920822e-07,-4.5694875e-07,3.6572712e-07
3,0.9452727,1.097522,1.1147716,5.646948,12.164627,26.346386,-2.440717e-10,-4.4264812e-07,3.0928453e-07,6.795855e-07,-4.5193647e-07,1.2082762e-06,0.22,0.21999955,0.22000031,19.432316,19.561321,19.556444,78.49281,79.24863,79.14924,-2.440717e-10,-4.4264812e-07,3.0928453e-07,-2.440717e-10,-4.4264812e-07,3.0928453e-07
4,1.3135197,1.4996166,1.3853395,8.212437,16.957344,34.312828,-2.2212356e-07,-9.061307e-08,2.064328e-08,-4.2532866e-07,-1.41478e-06,-1.3491743e-06,0.21999978,0.21999991,0.22000001,18.758474,19.06515,19.080578,78.3589,79.15598,78.57563,-2.2212356e-07,-9.061307e-08,2.064328e-08,-2.2212356e-07,-9.061307e-08,2.064328e-08
5,1.258926,1.332446,1.2952704,7.6432815,15.593314,31.289673,-4.37946e-08,-5.249034e-08,-1.5425677e-07,-1.7404861e-07,-4.8876507e-07,-1.3734817e-06,0.22,0.22,0.22,17.85046,18.296717,18.32849,80.42903,80.71516,80.37305,-4.37946e-08,-5.249034e-08,-1.5425677e-07,-4.37946e-08,-5.249034e-08,-1.5425677e-07
6,1.7642579,1.6583202,1.6126266,10.522047,20.325089,38.338085,0.023025569,0.004993424,0.028234482,0.23166041,0.28904665,0.34673488,0.22,0.22,0.22,18.670927,19.15229,18.538733,80.88836,80.60059,80.4555,9.921964,2.151719,12.166539,39.687855,8.606876,48.666157
7,1.1634138,1.1810693,1.2059549,7.162056,14.28728,28.514486,0.23112974,0.022196721,0.37359318,2.0665026,2.485458,3.0119827,0.22,0.22,0.22,19.55669,19.53449,19.401165,79.82247,79.90998,79.705345,102.47796,9.741823,167.32974,279.5923,29.777035,414.53882
8,0.9218483,1.1053499,1.0932416,5.716334,11.779709,24.485233,0.8008453,0.07843227,1.1686598,6.1629453,7.6412754,9.477363,0.22,0.22,0.22,20.64204,20.148777,20.576328,76.23431,77.637314,77.35547,310.96402,32.883236,449.4375,434.18497,69.235535,633.8449
9,0.76838243,0.9293439,1.0254796,5.26789,11.143882,23.290432,1.5308123,0.15276617,1.9979959,11.988972,15.123672,19.01656,0.22,0.22,0.22000001,21.850748,20.91914,21.930122,72.196236,76.072624,75.4538,427.75925,51.74798,586.7992,201.76054,55.651794,508.22577
10,0.69804776,0.829553,0.81421876,4.209294,9.519148,20.366598,1.9903338,0.117417336,2.48615,15.663777,19.412567,25.5068,0.22,0.22,0.22,20.621164,20.504055,21.163515,74.15384,76.73299,76.255066,668.815,47.033234,793.417,600.20593,70.30611,673.5304
11,0.7187511,0.81842256,0.7652275,4.105966,9.154057,19.340042,1.9833004,0.063427806,2.6808388,16.241726,19.266088,27.72081,0.22,0.22,0.22,21.078102,20.659754,21.682405,72.17436,75.804115,73.80848,642.36975,22.841202,848.22217,504.88367,46.148453,692.5763
12,0.7259252,0.83751047,0.7519682,4.131073,8.910639,18.404041,1.9283891,0.042601228,2.8628643,16.53935,19.486216,31.031404,0.22,0.22,0.22,22.107828,20.3292,22.396189,68.91986,73.77704,71.47046,626.6633,20.509857,903.6747,422.81396,21.903564,692.05005
13,1.0234923,0.9696187,0.8515068,5.675196,11.553436,22.136658,0.9437392,-0.006980419,2.7345877,12.294177,13.339518,27.431084,0.22,0.22,0.22,21.55662,19.980135,22.332098,73.29048,76.51828,73.48505,333.96664,1.2222595,871.45447,239.49438,14.598999,671.6243
14,1.4081948,1.1809765,1.1266048,7.9498405,15.144915,27.674215,0.22529024,-0.02117145,2.4375205,7.450856,7.597002,23.607382,0.22,0.22,0.22,20.20504,19.39316,21.72003,75.52036,76.79889,74.339806,34.459015,-17.139801,661.3711,-15.388245,-10.133636,353.92468
15,1.3575165,1.2008288,1.2010409,8.044886,15.359415,28.488195,0.09214246,-0.0203892,2.1994784,4.3729544,4.476091,24.179367,0.22,0.22,0.22,21.594263,19.690903,22.12349,72.957924,74.45529,73.12611,16.575134,-1.4428406,510.76334,12.283447,17.283325,187.5111
16,1.2992923,1.288915,1.250369,7.311105,14.51881,28.545988,-0.0086631775,-0.014832854,1.4399958,1.3149105,1.2040201,21.840046,0.2235988,0.22072542,0.22068766,20.188705,19.103622,21.696459,74.34888,76.57404,74.45933,26.080719,12.094421,357.99823,27.286865,26.093872,111.171524
17,1.1720289,1.1789979,1.1895263,6.816998,13.833147,27.076324,-0.09391749,-0.035321474,0.77171624,-0.12746704,-0.5084909,20.063368,0.24225286,0.21776526,0.23948722,19.248722,18.691418,20.939043,80.039856,78.22823,76.93496,18.0354,10.742828,272.17157,128.36343,84.88408,221.19463
18,1.3324411,1.1217932,1.3296759,8.251352,15.404314,29.255157,-0.059521914,0.0108014345,0.3053056,-0.17787898,-0.3898586,19.22472,0.2589882,0.22168636,0.2681662,19.248665,18.80258,20.48876,81.412315,79.290565,79.03503,-5.1290283,40.575165,155.64394,39.291504,107.52858,192.63492
19,1.0884413,0.9428613,1.0541649,6.542997,12.849337,25.19035,-0.036206484,0.12453592,0.079541564,-0.16542864,-0.22193277,18.976799,0.28680944,0.2471128,0.2626806,19.413568,19.396328,20.459375,76.58402,76.30187,75.66419,-17.191345,109.05664,50.459503,20.598755,267.76114,102.641846
20,1.2871835,0.9822482,1.3148894,9.451532,16.333128,30.269138,0.012140751,0.7855886,0.050842285,0.1219753,1.0796254,20.417181,0.3415368,0.2525912,0.2339859,19.087217,20.482986,20.07538,77.821365,75.58982,76.86541,-5.5848694,344.61865,19.095795,2.3626404,412.2825,42.071686
21,2.4966033,1.3284211,1.8468716,14.392382,24.319462,43.360912,0.007380843,1.560333,0.008187413,0.11351538,2.5372477,20.961683,0.21818587,0.21910083,0.22470385,19.644613,21.29116,20.258316,73.567314,73.747665,75.04504,-4.645447,526.7942,3.487152,2.3430176,536.1456,10.598541
22,2.9797995,1.5963271,1.8229574,13.319988,22.734741,41.99865,0.008375108,2.2829342,0.0021962523,0.13106036,4.8796177,20.857698,0.21885338,0.21806495,0.22339047,19.394438,21.80277,20.082705,75.089424,72.68271,75.35024,3.1564941,717.0812,1.8979187,1.0435181,656.7349,9.413452
23,2.442524,1.5330548,2.0895731,14.990784,24.57087,46.713837,0.015703022,2.6592817,-0.013196111,0.011471331,8.28204,21.398005,0.21819258,0.2180765,0.22017214,18.878345,22.211124,19.756674,79.3722,73.73735,78.21145,6.7738953,829.06903,-1.8564758,16.935196,659.1246,5.8180084
